SPI1_Pulse_Tidy_logFC	SPI1_Pulse_Tidy_p_value	SPI1_Pulse_Tidy_FDR	gene
-0.230358381	0.27202366100000003	0.865346655	hemL
0.179512077	0.273377841	0.865346655	invI
0.265803894	0.273540158	0.865346655	Tff
0.248282699	0.274680546	0.865346655	ytfL
0.222988295	0.274693685	0.865346655	yajC
0.20623362	0.274988599	0.865346655	gcvT
-0.202782179	0.275225426	0.865346655	smpA
0.199984886	0.275551266	0.865346655	glpQ
-0.198728098	0.277207754	0.865346655	secE
-0.234727004	0.277577194	0.865346655	bolA
0.235032051	0.277629685	0.865346655	rplW
-0.269831057	0.277839532	0.865346655	hscA
-0.213370753	0.278389363	0.865346655	lnt
0.257372258	0.279738782	0.865346655	SL1344_2780
-0.247430207	0.279972612	0.865346655	pldA
0.173786148	0.280569065	0.865346655	clpB
-0.256813577	0.280909286	0.865346655	pqiA
0.201091958	0.280930656	0.865346655	sipC
-0.271271919	0.281276383	0.865346655	SL1344_2135
-0.300704255	0.281321026	0.865346655	cadA
0.227977639	0.281763278	0.865346655	yfgA
-0.279538788	0.282143242	0.865346655	SL1344_4176
0.261993166	0.282532805	0.865346655	bglX
-0.28197362	0.283249364	0.866070938	metL
-0.265806143	0.284628765	0.867311043	SL1344_3240
0.184751639	0.284826454	0.867311043	ftsJ
-0.248737753	0.285444809	0.867311043	STnc620
0.186247484	0.286977722	0.867311043	RnpB
0.213875811	0.287798844	0.867311043	STnc1280
0.230926659	0.28818533	0.867311043	parB
-0.235160455	0.288612104	0.867311043	SL1344_1185
-0.288805948	0.28876996	0.867311043	lysP
0.225110264	0.289035069	0.867311043	aroK
0.245764578	0.289452821	0.867311043	SL1344_4410
0.245463094	0.29020803	0.867311043	SL1344_1778
0.228862255	0.290316027	0.867311043	SroG
-0.218550732	0.290915839	0.867311043	sdaA
-0.282218116	0.291379966	0.867311043	yrdA
0.2442016	0.292080431	0.867311043	RUF_107c.47
0.266102881	0.292190174	0.867311043	SL1344_2621
-0.22014307	0.29254315	0.867311043	yicH
0.251588222	0.292938954	0.867311043	minE
0.172904905	0.293059338	0.867311043	invC
-0.232929443	0.293424668	0.867311043	aarF
0.219026788	0.295192059	0.867311043	SL1344_3162
0.204656889	0.295235483	0.867311043	SL1344_1592
-0.26157833	0.295594548	0.867311043	SL1344_0846
0.257180192	0.296203642	0.867311043	tolA
0.219780552	0.296387646	0.867311043	ais
0.250398812	0.296508345	0.867311043	rplP
-0.230580824	0.296808389	0.867311043	dcuS
0.205253027	0.29728368	0.867311043	rho
-0.284850058	0.297722442	0.867311043	STnc1820
-0.237368882	0.298078075	0.867311043	StyR-329a
0.193508956	0.299019578	0.868150118	SroA
0.201278285	0.299745898	0.868150118	fliL
0.210050533	0.300155137	0.868150118	SL1344_P3_0006
0.19845823	0.300724732	0.868150118	SL1344_0624
-0.247327741	0.301091956	0.868150118	SL1344_1649
-0.254850078	0.301253866	0.868150118	Ig2335
-0.313530979	0.302479453	0.869347308	SL1344_0677
0.192399494	0.302633098	0.869347308	sdhB
-0.188280134	0.306906913	0.878649863	repA
-0.188280134	0.306906913	0.878649863	repA
-0.250690893	0.30733040700000003	0.878649863	sapG
-0.225647597	0.307332629	0.878649863	sprB
0.252900182	0.308355076	0.880178097	sseA
0.252900182	0.308355076	0.880178097	sseA
-0.188828172	0.311195308	0.884831165	cheA
-0.199297153	0.311714736	0.884831165	dacA
-0.227042343	0.312535507	0.884831165	cbiG
0.254917763	0.312979618	0.884831165	araC
0.156013852	0.313055738	0.884831165	infC
0.210146966	0.313085563	0.884831165	tsf
-0.224752715	0.314159879	0.884831165	SLnc0022
0.249936569	0.31430937	0.884831165	seqA
0.229979818	0.314399544	0.884831165	flgF
0.181872553	0.316535398	0.888625304	tolB
0.269880325	0.316919453	0.888625304	nuoI
-0.230036235	0.317811239	0.888625304	gpmB
-0.247125427	0.318689145	0.888625304	dppA
0.180483062	0.318822867	0.888625304	thrS
0.227251993	0.318971645	0.888625304	ftsL
0.274529463	0.319195785	0.888625304	SL1344_2304
0.234056284	0.319896797	0.888701485	engA
0.267873567	0.320208407	0.888701485	SL1344_3035
0.222789416	0.321574578	0.891122178	rbn
-0.195938855	0.32245079	0.892179792	rpsF
-0.165107772	0.323149563	0.892743968	ChiX
-0.195005224	0.324736776	0.89575710099999994	siiB
0.167576068	0.326161155	0.897156884	yaeT
0.242620111	0.326238867	0.897156884	SL1344_4242
-0.223111214	0.32706502	0.897480257	SL1344_0656
0.254575682	0.327592339	0.897480257	sugE
0.217524491	0.328492763	0.897480257	rpmD
-0.222550173	0.328888808	0.897480257	pdxB
-0.267739923	0.329582594	0.897480257	rpmA
-0.186563194	0.3301303	0.897480257	mrdB
0.233158966	0.330720647	0.897480257	SL1344_3288
0.236078478	0.330747803	0.897480257	gdhA
0.236078478	0.330747803	0.897480257	gdhA
-0.230861957	0.331211023	0.897480257	StyR-99
0.211488791	0.331345889	0.897480257	SL1344_3161
-0.214759559	0.331828898	0.897480257	SraC
-0.186605825	0.332974452	0.898756175	ppiC
-0.1963617	0.333297051	0.898756175	SL1344_1127
-0.214943424	0.333839328	0.898874847	artP
-0.180489032	0.33455981	0.899157284	RydC
-0.216470892	0.334984886	0.899157284	SL1344_1968
0.230433838	0.336061933	0.899157284	StyR-296
-0.207848366	0.336110557	0.899157284	rpiA
-0.18677785	0.336686304	0.899157284	murE
-0.234910484	0.337422701	0.899157284	STnc610
-0.179150923	0.337633993	0.899157284	SL1344_3576
-0.225920393	0.338351849	0.899157284	SL1344_2546
-0.235861019	0.338430042	0.899157284	holC
0.197241946	0.341045799	0.901536158	nuoN
-0.182207878	0.341059877	0.901536158	SL1344_0464
-0.202229335	0.341074536	0.901536158	nuoB
0.218418612	0.341324388	0.901536158	sodCI
-0.178020155	0.342396636	0.902055373	ftsA
-0.225065154	0.342521026	0.902055373	rfaH
-0.212371006	0.344845821	0.903446758	SL1344_1013
-0.156685849	0.345493128	0.903446758	ptsP
0.241455034	0.345776471	0.903446758	sbcB
0.237304116	0.345934704	0.903446758	ybjY
0.23533875	0.346449222	0.903446758	sdiA
-0.234182119	0.346488187	0.903446758	mltB
0.199224781	0.346554965	0.903446758	flgD
0.23106929	0.347559655	0.904758466	SL1344_3777
-0.187787453	0.349105315	0.906186982	ftsZ
-0.205043139	0.349395774	0.906186982	basR
-0.242600891	0.349787399	0.906186982	dcm
-0.223133382	0.350360243	0.906186982	SL1344_2316
-0.214870667	0.350620018	0.906186982	tpk3
0.252615102	0.352225504	0.909034063	rplL
0.225844268	0.356900708	0.919784112	ddlA
0.204277727	0.357588223	0.920241304	recB
-0.176610958	0.358169019	0.920422948	STnc1340
0.182606429	0.358727894	0.920547824	minC
-0.155478248	0.360062854	0.922323362	STnc4210
-0.236868293	0.36058598	0.922323362	ygeD
0.171904907	0.3609536	0.922323362	tig
-0.195748709	0.363273029	0.92521963	sRNA2
0.243803861	0.364063197	0.92521963	wrbA
-0.163527647	0.364390272	0.92521963	fkpA
-0.180743744	0.365168661	0.92521963	rnb
0.190378442	0.365207242	0.92521963	acrA
0.205664005	0.36543089	0.92521963	SL1344_3295
0.219040973	0.366054499	0.92521963	def
-0.193802718	0.366614145	0.92521963	murG
0.19693538	0.366889366	0.92521963	sucC
-0.234616313	0.367215773	0.92521963	visC
-0.222851083	0.369437843	0.92903635	SL1344_3548
0.185656585	0.36981029	0.92903635	tpiA
0.240864605	0.370373482	0.92903635	SL1344_2380
0.146986219	0.370790561	0.92903635	Msr
-0.189521696	0.372202455	0.929724271	tap
0.170369815	0.373672437	0.929724271	ybbN
0.205222265	0.374574873	0.929724271	SL1344_2695
-0.202961779	0.374596837	0.929724271	SL1344_2223
0.221436647	0.375553683	0.929724271	rplF
0.198670944	0.375835226	0.929724271	glpA
0.162261437	0.376086293	0.929724271	ompX
-0.227136641	0.376103835	0.929724271	apaG
0.154824652	0.37685789200000003	0.929724271	SL1344_1767
0.16004562	0.377347962	0.929724271	minD
-0.163462128	0.377474691	0.929724271	sopA
-0.19662681	0.377495414	0.929724271	purM
0.192355925	0.378951302	0.929724271	ispB
0.221872965	0.380056275	0.929724271	rpsQ
-0.23525066	0.381843156	0.929724271	repY
0.176406052	0.382353683	0.929724271	SL1344_3772
-0.219821817	0.382474678	0.929724271	STnc1490
-0.175296419	0.382746282	0.929724271	RUF_219c
-0.22398206	0.383729797	0.929724271	mreB-leader
0.174678312	0.384084577	0.929724271	rpsE
-0.196785238	0.384904588	0.929724271	napF
-0.198402588	0.384999907	0.929724271	SL1344_0222
0.222665126	0.385758769	0.929724271	selD
-0.210514041	0.385818161	0.929724271	SL1344_1364
-0.219392512	0.386412237	0.929724271	xthA
0.229390966	0.386768174	0.929724271	pcm
-0.190920816	0.387250971	0.929724271	SL1344_1583
-0.241629868	0.38754445	0.929724271	ybiP
0.17559817	0.387590712	0.929724271	ushA
-0.204250566	0.388757879	0.929724271	SL1344_1873
0.179680757	0.38936741	0.929724271	napC
-0.201147277	0.389829295	0.929724271	uvrC
0.167012198	0.389864523	0.929724271	fliI
-0.216359044	0.390102435	0.929724271	yhjN
-0.147400967	0.390780356	0.929724271	imp
0.177403239	0.390836716	0.929724271	nikB
-0.158318924	0.390998761	0.929724271	yejM
-0.170646998	0.391026238	0.929724271	cheY
0.18311082	0.39133234	0.929724271	SL1344_4110
-0.250255047	0.391679848	0.929724271	rpmG
0.188167853	0.392208511	0.929755788	cysN
0.18504405299999999	0.393625483	0.930477739	SL1344_1632
-0.15109395	0.394137278	0.930477739	cyoA
0.202331636	0.394775849	0.930477739	kdsA
0.1588787	0.39498254	0.930477739	prgJ
0.219712882	0.395091989	0.930477739	ybiS
0.221085943	0.396761853	0.933192155	STnc3220
0.241801702	0.397290793	0.93321952	SL1344_1171
0.213917938	0.398103469	0.933912428	tolQ
-0.22033441	0.399471361	0.935404044	mukE
-0.178937121	0.400302636	0.935404044	gltA
-0.151656644	0.400489942	0.935404044	pdxA
-0.151656644	0.400489942	0.935404044	pdxA
-0.144303541	0.400899218	0.935404044	tuf2
0.155558316	0.40133189	0.935404044	rpsL-leader
-0.194544974	0.402717641	0.936388594	SL1344_2884
0.213971152	0.402792433	0.936388594	SL1344_1701
-0.177380779	0.405073024	0.940098223	SL1344_3201
0.204783067	0.405714746	0.940098223	fliJ
-0.207545321	0.406390684	0.940098223	RUF_107c.112
0.165795109	0.406686346	0.940098223	flgB
0.181847476	0.407320023	0.940098223	rfbI
0.255329123	0.407514862	0.940098223	pal
-0.163606424	0.409930776	0.942399755	fliP
-0.2118168	0.410375275	0.942399755	rfbK
0.158218849	0.411124873	0.942399755	SL1344_4508
0.215820412	0.412008351	0.942399755	SL1344_1371
0.173439224	0.412536884	0.942399755	SL1344_2880
0.154021655	0.412829271	0.942399755	SL1344_3771
-0.162734306	0.413466752	0.942399755	ptsI
0.205839703	0.413745401	0.942399755	himD
-0.188891738	0.413805169	0.942399755	yehU
-0.152727838	0.414205998	0.942399755	pqaB
0.17652721	0.414549036	0.942399755	guaA
0.182497713	0.414781267	0.942399755	rplE
-0.152028022	0.415673078	0.943238029	StyR-44b
-0.15832975	0.41862969	0.948721882	udhA
0.150505768	0.419141541	0.948721882	Sar
0.204190869	0.420700001	0.951056142	SL1344_2492
-0.156634492	0.422226862	0.951670844	yaeL
0.160101653	0.423149242	0.951670844	srfA
0.126608016	0.424339291	0.951670844	dctA
0.208205452	0.424899903	0.951670844	SL1344_1396
0.18278461	0.425289562	0.951670844	SL1344_2960
0.146240876	0.42570196	0.951670844	tyrS
0.185122877	0.42576526	0.951670844	barA
-0.156008286	0.427219794	0.951670844	sspB
-0.206024999	0.427971938	0.951670844	cmk
0.188573669	0.42937552	0.951670844	SL1344_1065
0.158223721	0.429706852	0.951670844	flhB
-0.195557859	0.431242511	0.951670844	cpxR
-0.195265571	0.431335517	0.951670844	SL1344_2738
-0.219001837	0.432010296	0.951670844	SL1344_2967
-0.187990018	0.433058805	0.951670844	map
-0.169382179	0.433093239	0.951670844	rpoZ
-0.167014494	0.433415425	0.951670844	pgi
-0.19353188	0.433576113	0.951670844	galK
-0.17347778	0.433818541	0.951670844	dfp
0.171787943	0.434037142	0.951670844	ompF
-0.231946568	0.434390431	0.951670844	rfbN
-0.176065101	0.435260693	0.951670844	yjeQ
0.163721145	0.435447197	0.951670844	fliK
0.171228914	0.435950013	0.951670844	trxB
0.185092926	0.436778751	0.951670844	rpsR
0.167681531	0.437380898	0.951670844	rnr
-0.16478019	0.438710111	0.951670844	SL1344_1783
0.190393361	0.43904725	0.951670844	rlpB
0.128628493	0.439510311	0.951670844	SL1344_0148
-0.150631297	0.439942904	0.951670844	folC
-0.200488801	0.439970877	0.951670844	hemE
-0.178824427	0.440898515	0.951670844	SL1344_1916
-0.15549157	0.442219375	0.951670844	RUF_279
-0.175095632	0.442862761	0.951670844	parA
-0.175095632	0.442862761	0.951670844	parA
-0.174455257	0.442930861	0.951670844	SL1344_1262
0.184184728	0.443713275	0.951670844	dacC
-0.140645097	0.444307523	0.951670844	SL1344_1872
-0.149868329	0.444424324	0.951670844	brnQ
0.191059615	0.444591474	0.951670844	SL1344_0430
0.202027819	0.444747761	0.951670844	ispA
-0.171690754	0.445228739	0.951670844	sinR
-0.164023247	0.44624124	0.951670844	SL1344_2457
-0.211470114	0.446266129	0.951670844	STnc1065
0.177231476	0.446295171	0.951670844	RUF_341c.10
0.176547697	0.447055846	0.951670844	miaB
-0.169406408	0.447363103	0.951670844	STnc350
0.182528735	0.447523872	0.951670844	SL1344_3478
-0.185563163	0.449131682	0.951670844	SL1344_1752
0.121644856	0.450351311	0.951670844	araE
-0.142887037	0.450410074	0.951670844	kdgR
-0.142887037	0.450410074	0.951670844	kdgR
-0.196851418	0.450484707	0.951670844	udk
0.129121543	0.451326283	0.951670844	rob
0.172619971	0.452265315	0.951670844	SL1344_4179
0.170807563	0.452904245	0.951670844	SL1344_0165
0.151875034	0.45421727	0.951670844	fliY
-0.148499647	0.454862124	0.951670844	metG
0.127595401	0.454901697	0.951670844	mig-14
-0.191306991	0.455529343	0.951670844	SL1344_2356
0.163495605	0.455803299	0.951670844	STnc2070
-0.167091529	0.457102368	0.951670844	topB
-0.155136931	0.457369953	0.951670844	murD
-0.155149018	0.458665795	0.951670844	SL1344_3471
-0.17635241	0.458920792	0.951670844	SL1344_1001
-0.17720267	0.459385091	0.951670844	StyR-88
-0.191500113	0.459801213	0.951670844	coaA
0.160021009	0.460281278	0.951670844	ackA
0.187345686	0.460796395	0.951670844	deoD
0.188790744	0.461006487	0.951670844	SL1344_1218
0.115272666	0.461045576	0.951670844	SL1344_0149
-0.149227349	0.462734597	0.951670844	accD
-0.152248688	0.462746287	0.951670844	tpx
0.163274057	0.46326586	0.951670844	icc
0.178999557	0.464788663	0.951670844	msgA
0.168505251	0.464861709	0.951670844	SL1344_1227
-0.181956668	0.465425029	0.951670844	exoX
-0.198490084	0.46556995	0.951670844	yjfH
-0.160580371	0.466096649	0.951670844	SL1344_3484
-0.16676833	0.466231184	0.951670844	nuoE
0.155895563	0.466865909	0.951670844	STnc1690
-0.134618921	0.468572669	0.951670844	napH
0.156366653	0.468614097	0.951670844	yjeP
-0.159727936	0.468844748	0.951670844	siiA
-0.19880723	0.47040871	0.951670844	SL1344_1393
-0.135514145	0.470961668	0.951670844	SL1344_3878
-0.153805384	0.470993911	0.951670844	SL1344_4407
-0.150799244	0.471401422	0.951670844	SL1344_2659
-0.137472472	0.471851092	0.951670844	SL1344_P1_0061
0.174618514	0.472809239	0.951670844	rfbH
0.180363716	0.473649863	0.951670844	SL1344_2730
-0.166275194	0.475014995	0.951670844	ubiB
0.153143447	0.475596049	0.951670844	fabZ
0.142289378	0.475619531	0.951670844	SL1344_0868
-0.163492891	0.476488493	0.951670844	folD
0.147285467	0.47730526	0.951670844	SL1344_3127
0.179618173	0.477611232	0.951670844	gcpE
0.159973216	0.478061955	0.951670844	dapD
-0.136719098	0.47829074	0.951670844	SL1344_3542
-0.133329497	0.478304333	0.951670844	ybjX
0.144989797	0.478463097	0.951670844	STnc1405
0.201258974	0.478578085	0.951670844	SL1344_3552
-0.180023458	0.478600436	0.951670844	priB
0.191849013	0.478695305	0.951670844	SL1344_4447
0.160303036	0.47876885	0.951670844	rfaG
0.157504035	0.478852911	0.951670844	secF
0.175719728	0.478972932	0.951670844	SL1344_3886
0.130559223	0.479607228	0.951670844	tuf
0.195848734	0.4815453	0.951670844	SL1344_3816
0.149284289	0.481732219	0.951670844	phoH
0.184549453	0.481758373	0.951670844	visB
0.184351479	0.482420399	0.951670844	surE
-0.137553122	0.482687935	0.951670844	galP
0.158018144	0.482822127	0.951670844	metK
-0.177519739	0.483155111	0.951670844	SL1344_3011
0.146142261	0.483822489	0.951670844	SL1344_1150
0.166535888	0.484029868	0.951670844	mgsA
-0.178131516	0.48427873	0.951670844	dkgA
0.133149693	0.484286198	0.951670844	atpH
-0.163518428	0.48457786	0.951670844	glpG
0.147861529	0.484983754	0.951670844	recA
-0.125527946	0.485504117	0.951670844	hflX
-0.176872618	0.485645489	0.951670844	SL1344_1157
0.186694426	0.48701379	0.951670844	SL1344_3477
0.149188152	0.487403116	0.951670844	SibA
-0.165811113	0.487520168	0.951670844	serA
-0.174855939	0.488575273	0.951670844	apaH
-0.175892399	0.490489461	0.951670844	bisC
-0.163140715	0.491574632	0.951670844	SL1344_3540
-0.137470491	0.49180752	0.951670844	SL1344_1896
-0.12500589	0.492126433	0.951670844	sipF
-0.157509737	0.492233268	0.951670844	SL1344_3543
-0.177299441	0.492241795	0.951670844	SL1344_0630
0.163560332	0.492733404	0.951670844	SL1344_3654
-0.17180636	0.493167053	0.951670844	SL1344_2354
0.139662881	0.493215353	0.951670844	SL1344_3613
0.155471589	0.493474485	0.951670844	rpsK
-0.174045408	0.494187089	0.951670844	murI
0.141191782	0.495619603	0.951670844	STnc650
0.126534268	0.496447883	0.951670844	damX
0.157658101	0.496816171	0.951670844	truB
-0.162754636	0.496994226	0.951670844	holD
-0.161319016	0.497503865	0.951670844	rffE
0.181497069	0.497551039	0.951670844	traI
0.181497069	0.497551039	0.951670844	traI
-0.151091383	0.497811638	0.951670844	dnaB
0.144130279	0.497953032	0.951670844	recF
-0.177972465	0.498312421	0.951670844	SL1344_1834
0.172628534	0.498527122	0.951670844	SL1344_2202
0.116200751	0.498807018	0.951670844	aceE
-0.113934665	0.499046906	0.951670844	araJ
-0.152146734	0.499701192	0.951912303	purR
-0.196430778	0.501121811	0.953611547	SL1344_3546
0.170559912	0.502059075	0.954388378	SL1344_1084
-0.194068968	0.502916896	0.955012717	srmB
0.179737345	0.503659312	0.955416824	SL1344_3245
0.157890549	0.506240715	0.957964143	rpsD
0.18008433	0.506846572	0.957964143	greA
-0.173837289	0.507738469	0.957964143	SL1344_3343
0.172192283	0.507912142	0.957964143	rnhB
0.155976905	0.507940901	0.957964143	ybiK
0.111191985	0.509300877	0.957964143	hfQ
0.158414285	0.509852698	0.957964143	SL1344_0139
-0.146783899	0.510030103	0.957964143	SL1344_4016
0.164655038	0.510904846	0.957964143	SL1344_2483
-0.13668755	0.511842824	0.957964143	SL1344_2997
0.140727608	0.51235458	0.957964143	fliC
-0.165521819	0.51256813	0.957964143	rpmE
0.144481201	0.512737089	0.957964143	SL1344_4409
0.113673373	0.512915008	0.957964143	STnc475
0.167786186	0.513343299	0.957964143	hpt
-0.150105344	0.51374704	0.957964143	ogt
0.155326957	0.514130632	0.957964143	cyaY
0.114542314	0.514560562	0.957964143	tolC
-0.170079113	0.515210527	0.958185351	SL1344_1648
-0.142697132	0.516208335	0.95898052600000006	SL1344_3885
0.148857417	0.517452897	0.95898052600000006	SL1344_2614
0.142205576	0.517737714	0.95898052600000006	ribD
0.146775842	0.518728034	0.95898052600000006	sppA
-0.11524641100000001	0.518911325	0.95898052600000006	StyR-44a
0.160661328	0.520016875	0.95898052600000006	uvrD
0.156670409	0.520990455	0.95898052600000006	SL1344_3979
-0.173545949	0.521116589	0.95898052600000006	fdnH
-0.141962182	0.521571511	0.95898052600000006	rfaF
0.097922907	0.52218609	0.95898052600000006	STnc1460
0.146342373	0.522439096	0.95898052600000006	hupA
-0.153037869	0.522972744	0.95898052600000006	mutY
0.137382065	0.524355509	0.95898052600000006	ligT
0.159636637	0.524599422	0.95898052600000006	moaB
-0.157239904	0.524838445	0.95898052600000006	SL1344_4017
-0.139238365	0.524861862	0.95898052600000006	pyrH
0.116536387	0.524973639	0.95898052600000006	talB
0.186647572	0.525650053	0.95898052600000006	SL1344_4290
0.172131474	0.525738215	0.95898052600000006	SL1344_3428
0.118042033	0.526877482	0.95931731	pipC
0.179519739	0.527087109	0.95931731	glnD
0.151254012	0.527518166	0.95931731	SL1344_0999
-0.153860709	0.528647677	0.960226524	res
-0.146124033	0.52921645	0.960226524	lspA
-0.140763598	0.529614962	0.960226524	ftsX
-0.163533963	0.53076187	0.960618018	SL1344_4422
0.144189238	0.531480661	0.960618018	SL1344_3580
-0.111892895	0.532263831	0.960618018	nuoC
0.127825746	0.53226392	0.960618018	rplJ
0.165775511	0.532493358	0.960618018	cybB
-0.150320338	0.533579725	0.961340236	slt
0.10020645	0.53437007	0.961340236	pckA
-0.127515941	0.535042277	0.961340236	yhjO
0.119753282	0.535072388	0.961340236	murC
0.160586836	0.535683793	0.961340236	rpe
-0.124172839	0.536286348	0.961340236	yjeI
0.137073385	0.537580019	0.961340236	trxC
0.11910536	0.538019144	0.961340236	ucpA
0.169180808	0.538028676	0.961340236	truA
-0.103825022	0.538222638	0.961340236	alaS
0.156650245	0.540226679	0.962120616	SL1344_1211
0.137996771	0.540922116	0.962120616	menD
-0.14491105	0.541711147	0.962120616	fliR
-0.126541876	0.543098927	0.962120616	SL1344_3239
0.112962411	0.543623432	0.962120616	lysS
-0.153500835	0.544994454	0.962120616	rimK
0.118623592	0.545202947	0.962120616	maa
0.111682833	0.545329609	0.962120616	rpoC
0.133629364	0.545968324	0.962120616	rpsI
-0.118893401	0.546532189	0.962120616	secA
-0.153244784	0.546998825	0.962120616	SL1344_3041
-0.11900478	0.547406975	0.962120616	rcsC
-0.109045547	0.547486958	0.962120616	mukB
-0.121991933	0.547536448	0.962120616	ssb
-0.121991933	0.547536448	0.962120616	ssb
-0.133661436	0.549069406	0.962120616	yejB
0.171800228	0.549113194	0.962120616	ccmA2
0.13075198	0.550276663	0.962120616	nusG
0.162443209	0.550835016	0.962120616	menC
-0.117173589	0.550840091	0.962120616	dapA
0.116846774	0.551211899	0.962120616	SL1344_4389
0.143010493	0.551310214	0.962120616	SL1344_2300
0.135336421	0.55288164	0.962120616	yojF
-0.115573836	0.553334437	0.962120616	STnc1590
-0.147414754	0.553450985	0.962120616	yhjU
-0.121507293	0.553934818	0.962120616	ubiE
0.149814731	0.554068905	0.962120616	moaA
-0.146518749	0.554142485	0.962120616	fdoH
0.163832183	0.555390315	0.962120616	SL1344_0924
0.119912826	0.555670424	0.962120616	RUF_247c
-0.131666126	0.55588411	0.962120616	yaeC
-0.148640771	0.556342447	0.962120616	chaA
-0.123327726	0.556778346	0.962120616	cysB
-0.11353388	0.557352543	0.962120616	sicP
-0.133233158	0.557406456	0.962120616	SL1344_0286
0.116063232	0.558837675	0.962120616	aspS
-0.136453373	0.559964318	0.962120616	SL1344_0494
0.113267625	0.561401403	0.962120616	ppa
0.14701952	0.561710823	0.962120616	nrdD
-0.143741204	0.562935292	0.962120616	yhdH
0.112434798	0.563480206	0.962120616	yijP
0.124826478	0.56436587	0.962120616	cysU
-0.154303229	0.564763824	0.962120616	SL1344_0361
-0.108907127	0.564900422	0.962120616	SL1344_0378
0.138466187	0.565223685	0.962120616	era
0.116207759	0.56619486	0.962120616	tdh
0.127457083	0.566818417	0.962120616	hrpA
-0.158589485	0.56703279	0.962120616	SL1344_4408
-0.139700306	0.567037581	0.962120616	STnc4230
0.115384636	0.567961165	0.962120616	cspC
0.131473192	0.568112842	0.962120616	atpC
-0.156061141	0.569262769	0.962120616	SL1344_1264
0.140127955	0.569294969	0.962120616	STnc1675
-0.116657114	0.569671905	0.962120616	rbsB
-0.095953821	0.56980312	0.962120616	putA
-0.113292566	0.569841811	0.962120616	dsrB
0.112610221	0.569862361	0.962120616	mrcB
0.133747658	0.570202075	0.962120616	pabB
0.141797159	0.570586392	0.962120616	SL1344_2696
-0.121581543	0.570919432	0.962120616	cheR
0.134742498	0.5712373	0.962120616	SL1344_3131
0.112582091	0.571828842	0.962120616	fliG
0.094154448	0.571970892	0.962120616	pnp
-0.128601405	0.572894731	0.962120616	SL1344_1641
0.086748625	0.573114323	0.962120616	STnc1290
-0.136991721	0.573779431	0.962120616	sopD
-0.143287436	0.574305963	0.962120616	SL1344_0878
0.086625923	0.574392407	0.962120616	SL1344_1965
-0.122937441	0.575490471	0.962498387	SL1344_2732
-0.128258359	0.575685011	0.962498387	SL1344_0757
0.121220093	0.577535454	0.963536152	ytfM
-0.097243608	0.577637751	0.963536152	mraZ
-0.101160302	0.57860741	0.963536152	yojN
-0.126888554	0.579519282	0.963536152	SL1344_1265
0.091845412	0.579986568	0.963536152	tar
0.136700998	0.580731789	0.963536152	cysI
-0.11193131	0.581080862	0.963536152	yebL
0.132718144	0.581301672	0.963536152	mltC
0.111996607	0.581589363	0.963536152	rlgA
0.09339123	0.582206003	0.963536152	arcA
-0.131036623	0.582770516	0.963536152	yneB
-0.125760137	0.583215479	0.963536152	modB
0.105216897	0.583249156	0.963536152	mrdA
0.124264493	0.585087118	0.965688162	SL1344_0168
-0.107927309	0.586125121	0.96651711	SL1344_1776
0.127699005	0.586930505	0.966872226	rfaQ
-0.091598614	0.587412395	0.966872226	SL1344_1263
-0.133390171	0.590257573	0.969167916	cpxA
0.147536358	0.590472805	0.969167916	SL1344_4523
-0.107845366	0.591118017	0.969167916	SL1344_2526
0.143153463	0.591222666	0.969167916	SL1344_1710
0.094561574	0.591738484	0.969167916	SL1344_4464
-0.120072893	0.592030512	0.969167916	gidA
0.112805006	0.593472076	0.970646986	kbl
-0.103851619	0.594746535	0.971850316	ydgA
0.13824716	0.596547928	0.973516337	SL1344_1697
0.121379281	0.596845382	0.973516337	STnc3460
0.109222616	0.598369082	0.97404575	SL1344_4425
-0.102546247	0.59914029	0.97404575	SL1344_3944
0.115577967	0.600143758	0.97404575	SL1344_2805
0.100762454	0.600599687	0.97404575	htpX
-0.122436523	0.601128568	0.97404575	SL1344_1101
0.104827862	0.601163596	0.97404575	proP
0.104827862	0.601163596	0.97404575	proP
0.107575706	0.601281667	0.97404575	bcp
-0.136748523	0.60215533	0.97404575	SL1344_1537
0.135349629	0.604015844	0.97404575	yadA
0.132284511	0.606219224	0.97404575	STnc4220
-0.103095457	0.606792379	0.97404575	trxA
-0.093503926	0.607197228	0.97404575	dcuA
-0.120939874	0.607811632	0.97404575	SL1344_0180
-0.109522555	0.60833518	0.97404575	priA
0.125329431	0.608972852	0.97404575	SL1344_3846
0.093336852	0.6090037	0.97404575	atpE
0.099075823	0.609189388	0.97404575	glnS
-0.132094772	0.609496068	0.97404575	ecnR
0.10354369	0.609968695	0.97404575	rcsB
0.150827362	0.610388875	0.97404575	osmY
0.09000039	0.610613123	0.97404575	sipA
-0.093829564	0.610993994	0.97404575	hilA
-0.081395649	0.611749981	0.97404575	siiE
0.124286771	0.612489912	0.97404575	SL1344_1576
-0.106780907	0.613238469	0.97404575	fdnG
-0.106780907	0.613238469	0.97404575	fdnG
-0.091333233	0.613298776	0.97404575	rplY
0.094573083	0.613864638	0.97404575	tatA
-0.119355402	0.614380305	0.97404575	yhjW
-0.09153912	0.614455965	0.97404575	SL1344_3138
-0.10333763	0.614835956	0.97404575	rnc
0.134435439	0.615521577	0.97404575	SL1344_3537
0.106957006	0.615925995	0.97404575	gcvH
